film_id,film_name,tone,tone_id,weight
285816,The Accused,Somber,D  1355,5
285816,The Accused,Tense,D  1363,5
285816,The Accused,Poignant,D  1343,4
7092537,Across the Universe,Stylized,D  1357,9
7092537,Across the Universe,Earnest,D  1305,8
7092537,Across the Universe,Hallucinatory,D  1319,7
7092537,Across the Universe,Flashy,D  1690,5
54782,Action in the North Atlantic,Atmospheric,D  1283,5
54782,Action in the North Atlantic,Gritty,D  1318,5
414824,The Actress,Affectionate,D  1281,5
414824,The Actress,Poignant,D  1343,5
9504766,Adam,Bittersweet,D  1287,5
9504766,Adam,Gentle,D  1312,5
21538301,Adam and Dog,Quirky,D  1344,5
21538301,Adam and Dog,Whimsical,D  1369,5
322876,Adam's Rib,Stylish,D  1366,8
322876,Adam's Rib,Humorous,D  1323,7
322876,Adam's Rib,Talky,D  1361,7
322876,Adam's Rib,Witty,D  1372,7
322876,Adam's Rib,Easygoing,D  1306,6
322876,Adam's Rib,Literate,D  1328,6
3857577,Adaptation,Cerebral,D  1292,6
3857577,Adaptation,Clever,D  5138,5
3857577,Adaptation,Irreverent,D  1325,5
3857577,Adaptation,Literate,D  1328,5
3857577,Adaptation,Melancholy,D  1335,5
3857577,Adaptation,Quirky,D  1344,5
349801,The Addams Family,Stylized,D  1357,6
349801,The Addams Family,Whimsical,D  1369,6
349801,The Addams Family,Creepy,D  1297,5
349801,The Addams Family,Fanciful,D  1310,5
349801,The Addams Family,Goth,D  1316,5
349801,The Addams Family,Madcap,D  1331,5
349801,The Addams Family,Witty,D  1372,5
216522,Addams Family Values,Atmospheric,D  1283,5
216522,Addams Family Values,Creepy,D  1297,5
216522,Addams Family Values,Goofy,D  1314,5
216522,Addams Family Values,Goth,D  1316,5
216522,Addams Family Values,Humorous,D  1323,5
216522,Addams Family Values,Quirky,D  1344,5
216522,Addams Family Values,Whimsical,D  1369,5
10701123,Havoc 2: Normal Adolescent Behavior,Sexual,D  1351,8
10701123,Havoc 2: Normal Adolescent Behavior,Slick,D  1354,8
10701123,Havoc 2: Normal Adolescent Behavior,Decadent,D  1701,7
10701123,Havoc 2: Normal Adolescent Behavior,Quirky,D  1344,5
19313996,The Adventures of Tintin,Humorous,D  1323,5
19313996,The Adventures of Tintin,Rousing,D  1348,5
19313996,The Adventures of Tintin,Upbeat,D  1365,5
56043,The Adventures of Baron Munchausen,Whimsical,D  1369,6
56043,The Adventures of Baron Munchausen,Easygoing,D  1306,5
56043,The Adventures of Baron Munchausen,Fanciful,D  1310,5
56043,The Adventures of Baron Munchausen,Hallucinatory,D  1319,5
56043,The Adventures of Baron Munchausen,Humorous,D  1323,5
56043,The Adventures of Baron Munchausen,Lavish,D  1326,5
56043,The Adventures of Baron Munchausen,Light,D  1327,5
81637,Adventures of Don Juan,Bright,D  1289,7
81637,Adventures of Don Juan,Upbeat,D  1365,7
81637,Adventures of Don Juan,Humorous,D  1323,6
81637,Adventures of Don Juan,Light,D  1327,6
79968,The Adventures of Mark Twain,Affectionate,D  1281,7
79968,The Adventures of Mark Twain,Earnest,D  1305,7
79968,The Adventures of Mark Twain,Heartwarming,D  1321,7
79968,The Adventures of Mark Twain,Bittersweet,D  1287,6
79968,The Adventures of Mark Twain,Matter-of-Fact,D  1333,6
1237212,"The Adventures of Priscilla, Queen of the Desert",Campy,D  1290,8
1237212,"The Adventures of Priscilla, Queen of the Desert",Light,D  1327,7
1237212,"The Adventures of Priscilla, Queen of the Desert",Affectionate,D  1281,6
1237212,"The Adventures of Priscilla, Queen of the Desert",Easygoing,D  1306,6
1237212,"The Adventures of Priscilla, Queen of the Desert",Bright,D  1289,5
1237212,"The Adventures of Priscilla, Queen of the Desert",Madcap,D  1331,5
1237212,"The Adventures of Priscilla, Queen of the Desert",Merry,D  1337,5
23628,The Adventures of Robin Hood,Rousing,D  1348,8
23628,The Adventures of Robin Hood,Easygoing,D  1306,7
23628,The Adventures of Robin Hood,Merry,D  1337,7
23628,The Adventures of Robin Hood,Humorous,D  1323,6
23628,The Adventures of Robin Hood,Slick,D  1354,5
23628,The Adventures of Robin Hood,Sweeping,D  1359,5
19313996,The Adventures of Tintin,Humorous,D  1323,5
19313996,The Adventures of Tintin,Rousing,D  1348,5
19313996,The Adventures of Tintin,Upbeat,D  1365,5
171397,The Adventures of Tom Sawyer,Humorous,D  1323,7
171397,The Adventures of Tom Sawyer,Sentimental,D  1350,7
171397,The Adventures of Tom Sawyer,Easygoing,D  1306,6
171397,The Adventures of Tom Sawyer,Bittersweet,D  1287,4
1199413,Affair in Trinidad,Racy,D  1345,5
1199413,Affair in Trinidad,Sensual,D  1689,5
1199413,Affair in Trinidad,Slick,D  1354,5
3528699,The Affair of the Necklace,Atmospheric,D  1283,5
3528699,The Affair of the Necklace,Earnest,D  1305,5
3528699,The Affair of the Necklace,Elegant,D  1687,5
3528699,The Affair of the Necklace,Lavish,D  1326,5
3528699,The Affair of the Necklace,Sweeping,D  1359,5
265649,An Affair to Remember,Bittersweet,D  1287,6
265649,An Affair to Remember,Poignant,D  1343,6
265649,An Affair to Remember,Sentimental,D  1350,6
265649,An Affair to Remember,Tearjerking,D  1362,6
265649,An Affair to Remember,Warm,D  1368,6
265649,An Affair to Remember,Endearing,D  5134,5
265649,An Affair to Remember,Humorous,D  1323,5
1199417,The Affairs of Susan,Easygoing,D  1306,5
1199417,The Affairs of Susan,Heartwarming,D  1321,5
1199417,The Affairs of Susan,Light,D  1327,5
1199417,The Affairs of Susan,Warm,D  1368,5
1199417,The Affairs of Susan,Witty,D  1372,5
1306416,Affliction,Bleak,D  1288,8
1306416,Affliction,Downbeat,D  1302,7
1306416,Affliction,Wintry,D  1370,7
1306416,Affliction,Austere,D  1284,6
1306416,Affliction,Chilly,D  1293,5
1306416,Affliction,Disturbing,D  1301,5
1306416,Affliction,Paranoid,D  1341,5
54941,The African Queen,Affectionate,D  1281,7
54941,The African Queen,Humorous,D  1323,7
54941,The African Queen,Tense,D  1363,6
54941,The African Queen,Talky,D  1361,5
54941,The African Queen,Heartwarming,D  1321,4
54941,The African Queen,Rousing,D  1348,3
52121,After the Thin Man,Bright,D  1289,5
52121,After the Thin Man,Deadpan,D  1299,5
52121,After the Thin Man,Stylish,D  1366,5
52121,After the Thin Man,Talky,D  1361,5
52121,After the Thin Man,Witty,D  1372,5
52121,After the Thin Man,Wry,D  1373,5
6742286,After the Wedding,Cathartic,D  1291,5
6742286,After the Wedding,Deliberate,D  1300,5
6742286,After the Wedding,Intimate,D  1324,5
6742286,After the Wedding,Meditative,D  1334,5
6742286,After the Wedding,Poignant,D  1343,5
6742286,After the Wedding,Stirring,D  1684,5
317463,Afterglow,Bittersweet,D  1287,5
317463,Afterglow,Intimate,D  1324,5
317463,Afterglow,Reflective,D  1347,5
317463,Afterglow,Stylized,D  1357,5
317463,Afterglow,Talky,D  1361,5
18696188,Against All Odds,Easygoing,D  1306,5
18696188,Against All Odds,Light,D  1327,5
20912651,About Time,Fanciful,D  1310,5
20912651,About Time,Light,D  1327,5
20912651,About Time,Whimsical,D  1369,5
1199521,Agatha,Atmospheric,D  1283,5
1199521,Agatha,Literate,D  1328,5
1199521,Agatha,Understated,D  1364,5
199743,The Age of Innocence,Atmospheric,D  1283,8
199743,The Age of Innocence,Deliberate,D  1300,7
199743,The Age of Innocence,Lavish,D  1326,7
199743,The Age of Innocence,Sweeping,D  1359,6
199743,The Age of Innocence,Elegant,D  1687,5
199743,The Age of Innocence,Sensual,D  1689,5
199743,The Age of Innocence,Somber,D  1355,5
1199605,Agnes of God,Cerebral,D  1292,5
1199605,Agnes of God,Literate,D  1328,5
1199605,Agnes of God,Matter-of-Fact,D  1333,5
1199605,Agnes of God,Talky,D  1361,5
243801,The Agony and the Ecstasy,Earnest,D  1305,5
243801,The Agony and the Ecstasy,Passionate,D  1342,5
243801,The Agony and the Ecstasy,Sweeping,D  1359,5
21771131,August: Osage County,Literate,D  1328,5
21771131,August: Osage County,Poignant,D  1343,5
21771131,August: Osage County,Reflective,D  1347,5
21771131,August: Osage County,Talky,D  1361,5
21771131,August: Osage County,Wry,D  1373,5
32075,Air Force,Earnest,D  1305,8
32075,Air Force,Rousing,D  1348,7
32075,Air Force,Atmospheric,D  1283,6
32075,Air Force,Forceful,D  1311,6
32075,Air Force,Tense,D  1363,6
131238,Air Force One,Tense,D  1363,8
131238,Air Force One,Forceful,D  1311,5
131238,Air Force One,Ominous,D  1340,5
131238,Air Force One,Rousing,D  1348,5
131238,Air Force One,Claustrophobic,D  1294,4
1199532,Airport,Tense,D  1363,7
1199532,Airport,Earnest,D  1305,5
1199532,Airport,Ominous,D  1340,5
1199532,Airport,Slick,D  1354,5
1199532,Airport,Grim,D  1317,2
1199532,Airport,Menacing,D  1336,2
530834,Airport '77,Claustrophobic,D  1294,5
530834,Airport '77,Paranoid,D  1341,5
530834,Airport '77,Sweeping,D  1359,5
530834,Airport '77,Tense,D  1363,5
530834,Airport '77,Visceral,D  1367,5
12426875,Ajami,Disturbing,D  1301,5
12426875,Ajami,Earnest,D  1305,5
1227673,Aladdin,Easygoing,D  1306,5
1227673,Aladdin,Heartwarming,D  1321,5
1227673,Aladdin,Humorous,D  1323,5
1227673,Aladdin,Merry,D  1337,5
1227673,Aladdin,Silly,D  1353,5
1227673,Aladdin,Warm,D  1368,5
1227673,Aladdin,Whimsical,D  1369,5
6787702,The Alamo,Passionate,D  1342,7
6787702,The Alamo,Rousing,D  1348,7
6787702,The Alamo,Sweeping,D  1359,7
6787702,The Alamo,Tense,D  1363,7
6787702,The Alamo,Poignant,D  1343,5
217269,Eskimo,Atmospheric,D  1283,5
217269,Eskimo,Matter-of-Fact,D  1333,5
217269,Eskimo,Tense,D  1363,5
19146758,Albert Nobbs,Melancholy,D  1335,5
19146758,Albert Nobbs,Poignant,D  1343,5
19146758,Albert Nobbs,Somber,D  1355,5
19146758,Albert Nobbs,Humorous,D  1323,4
90071,Alexander's Ragtime Band,Easygoing,D  1306,5
90071,Alexander's Ragtime Band,Light,D  1327,5
90071,Alexander's Ragtime Band,Sentimental,D  1350,5
90071,Alexander's Ragtime Band,Upbeat,D  1365,5
243817,Algiers,Atmospheric,D  1283,5
243817,Algiers,Claustrophobic,D  1294,5
243817,Algiers,Melancholy,D  1335,5
243817,Algiers,Moody,D  1338,5
243817,Algiers,Passionate,D  1342,5
6269179,Alibi,Gritty,D  1318,5
6269179,Alibi,Menacing,D  1336,5
6269179,Alibi,Tense,D  1363,5
8904931,Alice in Wonderland,Hallucinatory,D  1319,8
8904931,Alice in Wonderland,Stylized,D  1357,8
8904931,Alice in Wonderland,Bright,D  1289,7
8904931,Alice in Wonderland,Light,D  1327,7
8904931,Alice in Wonderland,Quirky,D  1344,6
8904931,Alice in Wonderland,Upbeat,D  1365,6
8904931,Alice in Wonderland,Creepy,D  1297,5
8904931,Alice in Wonderland,Flashy,D  1690,5
56145,Alice Adams,Wistful,D  1371,7
56145,Alice Adams,Bittersweet,D  1287,6
56145,Alice Adams,Talky,D  1361,6
56145,Alice Adams,Literate,D  1328,5
56145,Alice Adams,Humorous,D  1323,4
56145,Alice Adams,Atmospheric,D  1283,3
15327,Alice Doesn't Live Here Anymore,Understated,D  1364,6
15327,Alice Doesn't Live Here Anymore,Heartwarming,D  1321,5
15327,Alice Doesn't Live Here Anymore,Intimate,D  1324,5
15327,Alice Doesn't Live Here Anymore,Matter-of-Fact,D  1333,5
15327,Alice Doesn't Live Here Anymore,Light,D  1327,4
8904931,Alice in Wonderland,Hallucinatory,D  1319,8
8904931,Alice in Wonderland,Stylized,D  1357,8
8904931,Alice in Wonderland,Bright,D  1289,7
8904931,Alice in Wonderland,Light,D  1327,7
8904931,Alice in Wonderland,Quirky,D  1344,6
8904931,Alice in Wonderland,Upbeat,D  1365,6
8904931,Alice in Wonderland,Creepy,D  1297,5
8904931,Alice in Wonderland,Flashy,D  1690,5
8904931,Alice in Wonderland,Hallucinatory,D  1319,8
8904931,Alice in Wonderland,Stylized,D  1357,8
8904931,Alice in Wonderland,Bright,D  1289,7
8904931,Alice in Wonderland,Light,D  1327,7
8904931,Alice in Wonderland,Quirky,D  1344,6
8904931,Alice in Wonderland,Upbeat,D  1365,6
8904931,Alice in Wonderland,Creepy,D  1297,5
8904931,Alice in Wonderland,Flashy,D  1690,5
1199455,Alice's Restaurant,Bittersweet,D  1287,5
1199455,Alice's Restaurant,Deliberate,D  1300,5
1199455,Alice's Restaurant,Irreverent,D  1325,5
1199455,Alice's Restaurant,Matter-of-Fact,D  1333,5
1199455,Alice's Restaurant,Quirky,D  1344,5
1199455,Alice's Restaurant,Stylized,D  1357,5
5126,Alien,Claustrophobic,D  1294,5
5126,Alien,Menacing,D  1336,5
5126,Alien,Ominous,D  1340,5
5126,Alien,Paranoid,D  1341,5
5126,Alien,Visceral,D  1367,5
5126,Alien,Chilly,D  1293,4
5126,Alien,Gruesome,D  2067,4
35456,Alien 3,Atmospheric,D  1283,7
35456,Alien 3,Grim,D  1317,7
35456,Alien 3,Downbeat,D  1302,6
35456,Alien 3,Visceral,D  1367,4
8904931,Alice in Wonderland,Hallucinatory,D  1319,8
8904931,Alice in Wonderland,Stylized,D  1357,8
8904931,Alice in Wonderland,Bright,D  1289,7
8904931,Alice in Wonderland,Light,D  1327,7
8904931,Alice in Wonderland,Quirky,D  1344,6
8904931,Alice in Wonderland,Upbeat,D  1365,6
8904931,Alice in Wonderland,Creepy,D  1297,5
8904931,Alice in Wonderland,Flashy,D  1690,5
292125,All About Eve,Biting,D  1286,8
292125,All About Eve,Stylish,D  1366,7
292125,All About Eve,Witty,D  1372,7
292125,All About Eve,Cynical,D  1298,5
292125,All About Eve,Literate,D  1328,5
292125,All About Eve,Satirical,D  1349,5
292125,All About Eve,Talky,D  1361,5
2604316,All About My Mother,Compassionate,D  1295,7
2604316,All About My Mother,Bittersweet,D  1287,6
2604316,All About My Mother,Warm,D  1368,5
2604316,All About My Mother,Witty,D  1372,5
2604316,All About My Mother,Bright,D  1289,4
2604316,All About My Mother,Stylish,D  1366,4
2604316,All About My Mother,Sentimental,D  1350,3
3749497,All or Nothing,Drab,D  1303,5
3749497,All or Nothing,Grim,D  1317,5
3749497,All or Nothing,Melancholy,D  1335,5
3749497,All or Nothing,Reflective,D  1347,5
3749497,All or Nothing,Talky,D  1361,5
3749497,All or Nothing,Understated,D  1364,5
1199360,All That Jazz,Hallucinatory,D  1319,8
1199360,All That Jazz,Stylized,D  1357,8
1199360,All That Jazz,Decadent,D  1701,7
1199360,All That Jazz,Dreamlike,D  1304,6
1199360,All That Jazz,Wry,D  1373,6
1199360,All That Jazz,Downbeat,D  1302,5
1199360,All That Jazz,Reflective,D  1347,5
329025,The Devil and Daniel Webster,Rousing,D  1348,7
329025,The Devil and Daniel Webster,Heartwarming,D  1321,6
329025,The Devil and Daniel Webster,Passionate,D  1342,6
329025,The Devil and Daniel Webster,Affectionate,D  1281,5
329025,The Devil and Daniel Webster,Earnest,D  1305,5
329025,The Devil and Daniel Webster,Stirring,D  1684,5
92940,All the Brothers Were Valiant,Bittersweet,D  1287,7
92940,All the Brothers Were Valiant,Rousing,D  1348,6
92940,All the Brothers Were Valiant,Tense,D  1363,6
92940,All the Brothers Were Valiant,Lavish,D  1326,4
1200130,All the King's Horses,Light,D  1327,5
1200130,All the King's Horses,Sweet,D  1360,5
1200131,All the King's Men,Confrontational,D  1296,6
1200131,All the King's Men,Harsh,D  1320,6
1200131,All the King's Men,Poignant,D  1343,6
1200131,All the King's Men,Forceful,D  1311,5
1200131,All the King's Men,Visceral,D  1367,5
57305,All the President's Men,Confrontational,D  1296,5
57305,All the President's Men,Matter-of-Fact,D  1333,5
57305,All the President's Men,Paranoid,D  1341,5
57305,All the President's Men,Stylish,D  1366,5
57305,All the President's Men,Talky,D  1361,5
57305,All the President's Men,Wry,D  1373,5
1240061,All Things Fair,Bittersweet,D  1287,5
1240061,All Things Fair,Intimate,D  1324,5
1240061,All Things Fair,Tense,D  1363,5
57340,"All This, and Heaven Too",Bittersweet,D  1287,7
57340,"All This, and Heaven Too",Melancholy,D  1335,7
57340,"All This, and Heaven Too",Somber,D  1355,7
57340,"All This, and Heaven Too",Earnest,D  1305,6
57340,"All This, and Heaven Too",Poignant,D  1343,6
57340,"All This, and Heaven Too",Sentimental,D  1350,6
2947230,Almost Famous,Affectionate,D  1281,6
2947230,Almost Famous,Bittersweet,D  1287,6
2947230,Almost Famous,Warm,D  1368,6
2947230,Almost Famous,Humorous,D  1323,5
2947230,Almost Famous,Understated,D  1364,5
2947230,Almost Famous,Nostalgic,D  1339,4
2947230,Almost Famous,Easygoing,D  1306,3
1200143,Along the Navajo Trail,Rousing,D  1348,8
1200143,Along the Navajo Trail,Easygoing,D  1306,7
1200143,Along the Navajo Trail,Warm,D  1368,7
1200143,Along the Navajo Trail,Light,D  1327,6
1200143,Along the Navajo Trail,Humorous,D  1323,4
57560,Altered States,Chilly,D  1293,5
57560,Altered States,Creepy,D  1297,5
57560,Altered States,Hallucinatory,D  1319,5
57560,Altered States,Menacing,D  1336,5
57560,Altered States,Ominous,D  1340,5
57560,Altered States,Paranoid,D  1341,5
57560,Altered States,Tense,D  1363,5
21600885,Jug Face,Ominous,D  1340,5
21600885,Jug Face,Tense,D  1363,5
1199744,Always a New Beginning,Earnest,D  1305,7
1199744,Always a New Beginning,Heartwarming,D  1321,6
1199744,Always a New Beginning,Matter-of-Fact,D  1333,5
1199744,Always a New Beginning,Poignant,D  1343,5
1199744,Always a New Beginning,Stirring,D  1684,5
57569,Amadeus,Humorous,D  1323,6
57569,Amadeus,Irreverent,D  1325,6
57569,Amadeus,Whimsical,D  1369,6
57569,Amadeus,Witty,D  1372,6
57569,Amadeus,Quirky,D  1344,5
57569,Amadeus,Satirical,D  1349,5
1200147,Amarcord,Nostalgic,D  1339,6
1200147,Amarcord,Dreamlike,D  1304,5
1200147,Amarcord,Humorous,D  1323,5
1200147,Amarcord,Quirky,D  1344,5
1200147,Amarcord,Satirical,D  1349,5
1200147,Amarcord,Warm,D  1368,5
1199659,The Amazing Mrs. Holliday,Easygoing,D  1306,5
1199659,The Amazing Mrs. Holliday,Heartwarming,D  1321,5
1199659,The Amazing Mrs. Holliday,Humorous,D  1323,5
16385932,Diary of a Wimpy Kid: Rodrick Rules,Bright,D  1289,5
16385932,Diary of a Wimpy Kid: Rodrick Rules,Fanciful,D  1310,5
16385932,Diary of a Wimpy Kid: Rodrick Rules,Light,D  1327,5
16385932,Diary of a Wimpy Kid: Rodrick Rules,Silly,D  1353,5
16385932,Diary of a Wimpy Kid: Rodrick Rules,Upbeat,D  1365,5
16385932,Diary of a Wimpy Kid: Rodrick Rules,Whimsical,D  1369,5
8905091,Amelia,Affectionate,D  1281,5
8905091,Amelia,Inspiring,D  3393,5
2481964,American Beauty,Cynical,D  1298,6
2481964,American Beauty,Satirical,D  1349,6
2481964,American Beauty,Irreverent,D  1325,5
2481964,American Beauty,Lyrical,D  1330,5
2481964,American Beauty,Reflective,D  1347,5
2481964,American Beauty,Wry,D  1373,5
2481964,American Beauty,Biting,D  1286,4
1200157,American Dream,Deliberate,D  1300,5
1200157,American Dream,Reflective,D  1347,5
1200157,American Dream,Talky,D  1361,5
7280183,American Gangster,Gritty,D  1318,8
7280183,American Gangster,Forceful,D  1311,7
7280183,American Gangster,Ominous,D  1340,7
7280183,American Gangster,Angry,D  1282,5
7280183,American Gangster,Tense,D  1363,5
20538,American Graffiti,Nostalgic,D  1339,7
20538,American Graffiti,Matter-of-Fact,D  1333,6
20538,American Graffiti,Reflective,D  1347,6
20538,American Graffiti,Humorous,D  1323,5
20538,American Graffiti,Summery,D  1358,5
20538,American Graffiti,Bittersweet,D  1287,4
513052,American History X,Forceful,D  1311,7
513052,American History X,Confrontational,D  1296,6
513052,American History X,Tense,D  1363,5
513052,American History X,Disturbing,D  1301,4
513052,American History X,Angry,D  1282,3
314413,An American in Paris,Bright,D  1289,7
314413,An American in Paris,Affectionate,D  1281,6
314413,An American in Paris,Fanciful,D  1310,6
314413,An American in Paris,Gentle,D  1312,6
314413,An American in Paris,Heartwarming,D  1321,6
314413,An American in Paris,Atmospheric,D  1283,5
314413,An American in Paris,Lyrical,D  1330,5
18326,The American President,Stylish,D  1366,7
18326,The American President,Warm,D  1368,7
18326,The American President,Witty,D  1372,7
18326,The American President,Wry,D  1373,6
18326,The American President,Light,D  1327,5
21803414,American Hustle,Flashy,D  1690,5
21803414,American Hustle,Slick,D  1354,5
21803414,American Hustle,Stylish,D  1366,5
3940259,American Splendor,Literate,D  1328,8
3940259,American Splendor,Wry,D  1373,7
3940259,American Splendor,Cynical,D  1298,5
3940259,American Splendor,Irreverent,D  1325,5
3940259,American Splendor,Quirky,D  1344,5
3940259,American Splendor,Stylized,D  1357,5
3940259,American Splendor,Witty,D  1372,5
1235645,An American Tail,Fanciful,D  1310,5
1235645,An American Tail,Nostalgic,D  1339,5
1235645,An American Tail,Quirky,D  1344,5
1235645,An American Tail,Sentimental,D  1350,5
1235645,An American Tail,Sweet,D  1360,5
12747,An American Werewolf in London,Atmospheric,D  1283,7
12747,An American Werewolf in London,Humorous,D  1323,6
12747,An American Werewolf in London,Tense,D  1363,6
12747,An American Werewolf in London,Menacing,D  1336,5
12747,An American Werewolf in London,Paranoid,D  1341,4
12747,An American Werewolf in London,Satirical,D  1349,3
1200067,The Americanization of Emily,Affectionate,D  1281,5
1200067,The Americanization of Emily,Deadpan,D  1299,5
1200067,The Americanization of Emily,Humorous,D  1323,5
1200067,The Americanization of Emily,Irreverent,D  1325,5
1200067,The Americanization of Emily,Reflective,D  1347,5
131236,Amistad,Earnest,D  1305,6
131236,Amistad,Cerebral,D  1292,5
131236,Amistad,Forceful,D  1311,5
131236,Amistad,Passionate,D  1342,5
131236,Amistad,Poignant,D  1343,5
131236,Amistad,Rousing,D  1348,5
131236,Amistad,Stirring,D  1684,5
4679982,The Amityville Horror,Creepy,D  1297,5
4679982,The Amityville Horror,Disturbing,D  1301,5
4679982,The Amityville Horror,Eerie,D  1307,5
4679982,The Amityville Horror,Gruesome,D  2067,5
4679982,The Amityville Horror,Lurid,D  1329,5
4679982,The Amityville Horror,Paranoid,D  1341,5
3250718,Amores Perros,Gritty,D  1318,9
3250718,Amores Perros,Atmospheric,D  1283,8
3250718,Amores Perros,Forceful,D  1311,8
3250718,Amores Perros,Lurid,D  1329,8
3250718,Amores Perros,Tense,D  1363,7
3250718,Amores Perros,Visceral,D  1367,7
3250718,Amores Perros,Compassionate,D  1295,6
3250718,Amores Perros,Disturbing,D  1301,6
20509881,Amour,Poignant,D  1343,5
20509881,Amour,Sentimental,D  1350,5
1203931,The Fighter,Forceful,D  1311,5
1203931,The Fighter,Gritty,D  1318,5
1203931,The Fighter,Tense,D  1363,5
299603,Anastasia,Melancholy,D  1335,7
299603,Anastasia,Sentimental,D  1350,7
299603,Anastasia,Nostalgic,D  1339,6
299603,Anastasia,Poignant,D  1343,6
299603,Anastasia,Lavish,D  1326,5
299603,Anastasia,Reflective,D  1347,5
299603,Anastasia,Melancholy,D  1335,7
299603,Anastasia,Sentimental,D  1350,7
299603,Anastasia,Nostalgic,D  1339,6
299603,Anastasia,Poignant,D  1343,6
299603,Anastasia,Lavish,D  1326,5
299603,Anastasia,Reflective,D  1347,5
1200169,Anatomy of a Murder,Deliberate,D  1300,7
1200169,Anatomy of a Murder,Talky,D  1361,7
1200169,Anatomy of a Murder,Lurid,D  1329,6
1200169,Anatomy of a Murder,Matter-of-Fact,D  1333,5
1200169,Anatomy of a Murder,Understated,D  1364,5
1200169,Anatomy of a Murder,Humorous,D  1323,3
301845,Anchors Aweigh,Bright,D  1289,7
301845,Anchors Aweigh,Heartwarming,D  1321,6
301845,Anchors Aweigh,Lavish,D  1326,6
301845,Anchors Aweigh,Merry,D  1337,6
301845,Anchors Aweigh,Light,D  1327,5
35157,...And Justice for All,Satirical,D  1349,9
35157,...And Justice for All,Cynical,D  1298,8
35157,...And Justice for All,Angry,D  1282,7
35157,...And Justice for All,Gritty,D  1318,7
35157,...And Justice for All,Biting,D  1286,5
35157,...And Justice for All,Quirky,D  1344,5
21743062,The Wolf of Wall Street,Biting,D  1286,5
21743062,The Wolf of Wall Street,Confrontational,D  1296,5
21743062,The Wolf of Wall Street,Forceful,D  1311,5
21743062,The Wolf of Wall Street,Humorous,D  1323,5
