film_id,film_name,theme,theme_id,weight
7092537,Across the Universe,Star-Crossed Lovers,D  1551,9
7092537,Across the Universe,Political Unrest,D  1610,6
7092537,Across the Universe,Life in the Arts,D  1467,5
7092537,Across the Universe,Home From the War,D  1462,4
54782,Action in the North Atlantic,Military Life,D  1543,5
54782,Action in the North Atlantic,War At Sea,D  1559,5
414824,The Actress,Actor's Life,D  1556,5
414824,The Actress,Fathers and Daughters,D  1616,5
18701855,Ådalen 31,Forbidden Love,D  2277,5
18701855,Ådalen 31,Labor Unions,D  1392,5
9504766,Adam,Mental Illness,D  2143,5
9504766,Adam,Opposites Attract,D  1490,5
21538301,Adam and Dog,Man's Best Friend,D  1495,5
322876,Adam's Rib,Battle of the Sexes,D  1686,7
322876,Adam's Rib,Workplace Romance,D  1621,7
322876,Adam's Rib,Class Differences,D  1412,6
322876,Adam's Rib,Opposites Attract,D  1490,6
3857577,Adaptation,Creative Block,D  1639,9
3857577,Adaptation,Writer's Life,D  1581,8
3857577,Adaptation,Existential Crisis,D  3235,5
3857577,Adaptation,Twins and Lookalikes,D  1408,5
3857577,Adaptation,Filmmaking,D  1641,3
349801,The Addams Family,Eccentric Families,D  1418,8
349801,The Addams Family,Mischievous Children,D  1497,6
349801,The Addams Family,Fish Out of Water,D  1422,5
349801,The Addams Family,Opposites Attract,D  1490,5
216522,Addams Family Values,Eccentric Families,D  1418,7
216522,Addams Family Values,Mischievous Children,D  1497,6
216522,Addams Family Values,Cons and Scams,D  1607,5
216522,Addams Family Values,Summer Camp,D  1601,4
10701123,Havoc 2: Normal Adolescent Behavior,Misfits and Outsiders,D  3186,8
10701123,Havoc 2: Normal Adolescent Behavior,High School Life,D  1431,7
10701123,Havoc 2: Normal Adolescent Behavior,New Kid in Town,D  3398,7
10701123,Havoc 2: Normal Adolescent Behavior,Sexual Awakening,D  1505,6
10701123,Havoc 2: Normal Adolescent Behavior,Peer Pressure [k],D  2260,3
19313996,The Adventures of Tintin,Members of the Press,D  1643,5
19313996,The Adventures of Tintin,Priceless Artifacts and Prized Objects,D  3237,5
56043,The Adventures of Baron Munchausen,Fantasy Life,D  1668,5
56043,The Adventures of Baron Munchausen,Heroic Mission,D  1630,5
81637,Adventures of Don Juan,Daring Rescues,D  1376,7
81637,Adventures of Don Juan,Heroic Mission,D  1630,6
81637,Adventures of Don Juan,Righting the Wronged,D  1631,6
79968,The Adventures of Mark Twain,Writer's Life,D  1581,8
1237212,"The Adventures of Priscilla, Queen of the Desert",Gender-Bending,D  1407,8
1237212,"The Adventures of Priscilla, Queen of the Desert",All Washed Up,D  1555,5
1237212,"The Adventures of Priscilla, Queen of the Desert",Midlife Crises,D  1636,5
1237212,"The Adventures of Priscilla, Queen of the Desert",Fathers and Sons,D  1617,4
23628,The Adventures of Robin Hood,Righting the Wronged,D  1631,9
23628,The Adventures of Robin Hood,Daring Rescues,D  1376,8
23628,The Adventures of Robin Hood,Heroic Mission,D  1630,7
23628,The Adventures of Robin Hood,Opposites Attract,D  1490,5
19313996,The Adventures of Tintin,Members of the Press,D  1643,5
19313996,The Adventures of Tintin,Priceless Artifacts and Prized Objects,D  3237,5
171397,The Adventures of Tom Sawyer,Mischievous Children,D  1497,7
171397,The Adventures of Tom Sawyer,Flight of the Innocent,D  1525,4
1199413,Affair in Trinidad,Death of a Partner,D  1678,5
3528699,The Affair of the Necklace,Jewel Theft,D  1710,5
3528699,The Affair of the Necklace,Riches To Rags,D  1424,5
265649,An Affair to Remember,Brief Encounters,D  1584,7
265649,An Affair to Remember,Vacation Romances,D  1626,6
265649,An Affair to Remember,Lovers Reunited,D  1620,5
265649,An Affair to Remember,Ship Cruises,D  1600,5
265649,An Affair to Remember,Otherwise Engaged,D  1488,4
1199417,The Affairs of Susan,Otherwise Engaged,D  1488,6
1199417,The Affairs of Susan,Lovers Reunited,D  1620,5
1306416,Affliction,Haunted By the Past,D  1404,7
1306416,Affliction,Alcoholism,D  1375,6
1306416,Affliction,Fathers and Sons,D  1617,6
54941,The African Queen,Opposites Attract,D  1490,7
54941,The African Queen,Survival in the Wilderness,D  1499,6
21396386,After Tiller,Culture Clash,D  1411,5
52121,After the Thin Man,Crumbling Marriages,D  1506,5
52121,After the Thin Man,Treacherous Spouses,D  1573,5
6742286,After the Wedding,Crisis of Conscience,D  1651,6
6742286,After the Wedding,Mysterious Strangers,D  3232,6
6742286,After the Wedding,Coming Home,D  3188,5
6742286,After the Wedding,Fathers and Daughters,D  1616,5
6742286,After the Wedding,Obsessive Quests,D  1546,5
6742286,After the Wedding,Orphans,D  1378,4
317463,Afterglow,Crumbling Marriages,D  1506,5
317463,Afterglow,Infidelity,D  1486,5
18696188,Against All Odds,Miscarriage of Justice,D  1557,5
20912651,About Time,Time Travel,D  1455,5
1199521,Agatha,Writer's Life,D  1581,6
1199521,Agatha,Amnesia,D  1572,5
1199521,Agatha,Crumbling Marriages,D  1506,3
199743,The Age of Innocence,Otherwise Engaged,D  1488,7
199743,The Age of Innocence,Love Triangles,D  1492,5
199743,The Age of Innocence,Social Climbing,D  1606,5
18766722,Agee,Writer's Life,D  1581,5
1199605,Agnes of God,Death of a Child,D  1679,5
1199605,Agnes of God,Members of the Clergy,D  2145,5
1199605,Agnes of God,Message From God,D  1397,5
1199605,Agnes of God,Redemption,D  1587,5
243801,The Agony and the Ecstasy,Life in the Arts,D  1467,7
243801,The Agony and the Ecstasy,Tortured Genius,D  1671,6
21771131,August: Osage County,Dysfunctional Families,D  3396,5
21771131,August: Osage County,Mothers and Daughters,D  1615,5
21771131,August: Osage County,Parenthood,D  1415,5
32075,Air Force,Heroic Mission,D  1630,6
32075,Air Force,Military Life,D  1543,6
32075,Air Force,War in the Sky,D  1560,6
131238,Air Force One,Hijackings,D  1444,7
131238,Air Force One,Hostage Situations,D  1576,7
131238,Air Force One,Terrorism,D  1434,7
131238,Air Force One,Daring Rescues,D  1376,6
131238,Air Force One,Race Against Time,D  1432,6
131238,Air Force One,Under Siege,D  5131,5
1199532,Airport,Air Disasters,D  1588,7
1199532,Airport,Forces of Nature,D  2750,5
530834,Airport '77,Air Disasters,D  1588,5
530834,Airport '77,Disasters at Sea,D  1589,5
12426875,Ajami,Intersecting Lives,D  3191,8
12426875,Ajami,Death in the Family,D  2251,5
12426875,Ajami,Drug Trade,D  1476,5
12426875,Ajami,Missing Persons,D  1586,5
12426875,Ajami,Mothers and Sons,D  1618,5
12426875,Ajami,Sibling Relationships,D  1624,5
12426875,Ajami,Star-Crossed Lovers,D  1551,5
1227673,Aladdin,Crowned Heads,D  1642,5
1227673,Aladdin,Curses and Spells,D  3246,5
1227673,Aladdin,Daring Rescues,D  1376,5
1227673,Aladdin,Genie in a Bottle,D  1544,5
1227673,Aladdin,Heroic Mission,D  1630,5
1227673,Aladdin,Schemes and Ruses,D  3228,5
6787702,The Alamo,Great Battles,D  1561,8
6787702,The Alamo,Heroic Mission,D  1630,7
217269,Eskimo,Infidelity,D  1486,5
217269,Eskimo,Out For Revenge,D  1719,5
19146758,Albert Nobbs,Assumed Identities,D  1405,5
19146758,Albert Nobbs,Gender-Bending,D  1407,5
19146758,Albert Nobbs,Servants and Employers,D  1413,5
90071,Alexander's Ragtime Band,Musician's Life,D  1653,7
90071,Alexander's Ragtime Band,Love Triangles,D  1492,6
243817,Algiers,Cons and Scams,D  1607,5
243817,Algiers,Dangerous Attraction,D  1526,5
243817,Algiers,Self-Destructive Romance,D  1487,5
8904931,Alice in Wonderland,Fantasy Lands,D  1798,5
8904931,Alice in Wonderland,Finding a Way Back Home,D  1680,5
8904931,Alice in Wonderland,Heroic Mission,D  1630,5
8904931,Alice in Wonderland,Mythical Creatures,D  1793,5
56145,Alice Adams,Looking For Love,D  1704,7
56145,Alice Adams,Class Differences,D  1412,6
15327,Alice Doesn't Live Here Anymore,Starting Over,D  1599,8
15327,Alice Doesn't Live Here Anymore,Single Parents,D  1592,5
15327,Alice Doesn't Live Here Anymore,Women's Friendship,D  1623,5
8904931,Alice in Wonderland,Fantasy Lands,D  1798,5
8904931,Alice in Wonderland,Finding a Way Back Home,D  1680,5
8904931,Alice in Wonderland,Heroic Mission,D  1630,5
8904931,Alice in Wonderland,Mythical Creatures,D  1793,5
8904931,Alice in Wonderland,Fantasy Lands,D  1798,5
8904931,Alice in Wonderland,Finding a Way Back Home,D  1680,5
8904931,Alice in Wonderland,Heroic Mission,D  1630,5
8904931,Alice in Wonderland,Mythical Creatures,D  1793,5
1199455,Alice's Restaurant,Bohemian Life,D  1428,5
1199455,Alice's Restaurant,Eccentric Families,D  1418,5
1199455,Alice's Restaurant,Generation Gap,D  1381,5
1199455,Alice's Restaurant,Innocence Lost,D  1377,5
5126,Alien,Evil Aliens,D  1542,9
5126,Alien,Space Travel,D  1547,6
5126,Alien,Robots and Androids,D  1538,5
35456,Alien 3,Evil Aliens,D  1542,7
35456,Alien 3,Fighting the System,D  1503,5
35456,Alien 3,Space Travel,D  1547,5
35456,Alien 3,Heroic Mission,D  1630,3
8904931,Alice in Wonderland,Fantasy Lands,D  1798,5
8904931,Alice in Wonderland,Finding a Way Back Home,D  1680,5
8904931,Alice in Wonderland,Heroic Mission,D  1630,5
8904931,Alice in Wonderland,Mythical Creatures,D  1793,5
292125,All About Eve,Actor's Life,D  1556,9
292125,All About Eve,Ladder to the Top,D  1399,8
292125,All About Eve,Faltering Friendships,D  1593,7
292125,All About Eve,Mentors,D  3236,5
292125,All About Eve,Women's Friendship,D  1623,4
2604316,All About My Mother,Mothers and Sons,D  1618,7
2604316,All About My Mother,Haunted By the Past,D  1404,6
2604316,All About My Mother,Women's Friendship,D  1623,6
2604316,All About My Mother,Death of a Child,D  1679,5
2604316,All About My Mother,Starting Over,D  1599,5
3749497,All or Nothing,Down on Their Luck,D  1383,9
3749497,All or Nothing,Crumbling Marriages,D  1506,7
3749497,All or Nothing,Class Differences,D  1412,6
3749497,All or Nothing,Families in Crisis,D  2141,5
1199360,All That Jazz,Dancer's Life,D  1400,7
1199360,All That Jazz,Fathers and Daughters,D  1616,3
329025,The Devil and Daniel Webster,Deal With the Devil,D  1403,7
329025,The Devil and Daniel Webster,Rags To Riches,D  1423,6
329025,The Devil and Daniel Webster,Down on Their Luck,D  1383,5
329025,The Devil and Daniel Webster,Redemption,D  1587,5
92940,All the Brothers Were Valiant,Sibling Relationships,D  1624,7
92940,All the Brothers Were Valiant,Missing Persons,D  1586,4
92940,All the Brothers Were Valiant,Treasure Hunts,D   523,3
1200130,All the King's Horses,Assumed Identities,D  1405,5
1200130,All the King's Horses,Twins and Lookalikes,D  1408,5
1200131,All the King's Men,Rise and Fall Stories,D  1635,6
1200131,All the King's Men,Political Corruption,D  1596,5
1200131,All the King's Men,Rise To Power,D  1597,5
57305,All the President's Men,Conspiracies,D  1436,7
57305,All the President's Men,Members of the Press,D  1643,7
57305,All the President's Men,Political Corruption,D  1596,7
1240061,All Things Fair,Sexual Awakening,D  1505,9
1240061,All Things Fair,Age Disparity Romance,D  1553,7
1240061,All Things Fair,Infidelity,D  1486,6
57340,"All This, and Heaven Too",Crumbling Marriages,D  1506,7
57340,"All This, and Heaven Too",Haunted By the Past,D  1404,6
57340,"All This, and Heaven Too",Unrequited Love,D  1552,6
57340,"All This, and Heaven Too",Infidelity,D  1486,5
2947230,Almost Famous,Musician's Life,D  1653,6
2947230,Almost Famous,Child Prodigies,D  3252,5
2947230,Almost Famous,Mothers and Sons,D  1618,5
2947230,Almost Famous,Unrequited Love,D  1552,5
2947230,Almost Famous,Writer's Life,D  1581,5
2947230,Almost Famous,Innocence Lost,D  1377,3
1200143,Along the Navajo Trail,Sheriffs and Outlaws,D  1632,7
1200143,Along the Navajo Trail,Prospectors and Land Rights,D  1713,6
1200143,Along the Navajo Trail,Woman In Jeopardy,D  1443,6
57560,Altered States,Experiments Gone Awry,D  1448,5
21600885,Jug Face,Expecting a Baby,D  2072,5
1199744,Always a New Beginning,Living With Disability,D  1513,7
57569,Amadeus,Tortured Genius,D  1671,7
57569,Amadeus,Musician's Life,D  1653,6
57569,Amadeus,Bohemian Life,D  1428,5
57569,Amadeus,Child Prodigies,D  3252,5
1200147,Amarcord,Eccentric Families,D  1418,5
1200147,Amarcord,Mischievous Children,D  1497,5
1200147,Amarcord,Small-Town Life,D  1652,5
1200147,Amarcord,Totalitarian States,D  1453,4
1199659,The Amazing Mrs. Holliday,Assumed Identities,D  1405,5
1199659,The Amazing Mrs. Holliday,Heroic Mission,D  1630,5
16385932,Diary of a Wimpy Kid: Rodrick Rules,Faltering Friendships,D  1593,5
16385932,Diary of a Wimpy Kid: Rodrick Rules,Mischievous Children,D  1497,5
16385932,Diary of a Wimpy Kid: Rodrick Rules,Sibling Relationships,D  1624,5
8905091,Amelia,Obsessive Quests,D  1546,5
2481964,American Beauty,Midlife Crises,D  1636,7
2481964,American Beauty,Suburban Dysfunction,D  1414,7
2481964,American Beauty,Crumbling Marriages,D  1506,6
2481964,American Beauty,Dysfunctional Families,D  3396,5
2481964,American Beauty,Fired or Laid-Off,D  3241,5
2481964,American Beauty,Parenthood,D  1415,5
1200157,American Dream,Inner City Blues,D  1401,5
1200157,American Dream,Generation Gap,D  1381,4
7280183,American Gangster,Drug Trade,D  1476,9
7280183,American Gangster,Rise To Power,D  1597,7
7280183,American Gangster,Police Corruption,D  1595,6
7280183,American Gangster,Race Relations,D  1579,4
7280183,American Gangster,Star Detectives,D  1736,4
20538,American Graffiti,High School Life,D  1431,7
20538,American Graffiti,Innocence Lost,D  1377,7
20538,American Graffiti,First Love,D  1491,6
20538,American Graffiti,Sexual Awakening,D  1505,4
20538,American Graffiti,Party Film,D  1429,3
513052,American History X,Race Relations,D  1579,7
513052,American History X,Social Injustice,D  1508,7
513052,American History X,Going Straight,D  1475,6
513052,American History X,Sibling Relationships,D  1624,5
513052,American History X,Street Gangs,D  1650,5
314413,An American in Paris,Americans Abroad,D  1427,7
314413,An American in Paris,Love Triangles,D  1492,6
314413,An American in Paris,Life in the Arts,D  1467,4
18326,The American President,Heads of State,D  3018,5
18326,The American President,Workplace Romance,D  1621,4
21803414,American Hustle,Cons and Scams,D  1607,5
21803414,American Hustle,Going Undercover,D  1478,5
3940259,American Splendor,Writer's Life,D  1581,9
3940259,American Splendor,Battling Illness,D  1389,5
3940259,American Splendor,Down on Their Luck,D  1383,5
3940259,American Splendor,Eccentric Families,D  1418,5
3940259,American Splendor,Foibles of Marriage,D  1707,5
3940259,American Splendor,Underdogs,D  1426,5
1235645,An American Tail,Immigrant Life,D  1402,3
12747,An American Werewolf in London,Werewolves,D  2275,8
12747,An American Werewolf in London,Americans Abroad,D  1427,7
12747,An American Werewolf in London,Race Against Time,D  1432,5
1200067,The Americanization of Emily,Americans Abroad,D  1427,5
1200067,The Americanization of Emily,Unlikely Heroes,D  1633,5
131236,Amistad,Race Relations,D  1579,5
131236,Amistad,Righting the Wronged,D  1631,5
131236,Amistad,Social Injustice,D  1508,5
4679982,The Amityville Horror,Demonic Possession,D  1529,5
4679982,The Amityville Horror,Ghosts,D  1664,5
3250718,Amores Perros,Man's Best Friend,D  1495,9
3250718,Amores Perros,Crime Gone Awry,D  1637,7
3250718,Amores Perros,Redemption,D  1587,7
3250718,Amores Perros,Unrequited Love,D  1552,7
3250718,Amores Perros,Haunted By the Past,D  1404,6
3250718,Amores Perros,Hired Killers,D  1682,6
3250718,Amores Perros,Love Triangles,D  1492,6
3250718,Amores Perros,Sibling Relationships,D  1624,5
20509881,Amour,Living With Disability,D  1513,5
20509881,Amour,Starting Over,D  1599,5
1203931,The Fighter,Boxers,D  1518,5
1203931,The Fighter,Down on Their Luck,D  1383,5
1203931,The Fighter,Crumbling Marriages,D  1506,2
299603,Anastasia,Amnesia,D  1572,7
299603,Anastasia,Inheritance at Stake,D  1716,6
299603,Anastasia,Cons and Scams,D  1607,5
299603,Anastasia,Social Climbing,D  1606,5
299603,Anastasia,Cinderella Stories,D  1521,3
299603,Anastasia,Amnesia,D  1572,7
299603,Anastasia,Inheritance at Stake,D  1716,6
299603,Anastasia,Cons and Scams,D  1607,5
299603,Anastasia,Social Climbing,D  1606,5
299603,Anastasia,Cinderella Stories,D  1521,3
1200169,Anatomy of a Murder,Murder Investigations,D  1768,8
1200169,Anatomy of a Murder,Domestic Abuse,D  1384,6
1200169,Anatomy of a Murder,Lawyers,D  1502,3
301845,Anchors Aweigh,Military Life,D  1543,7
301845,Anchors Aweigh,Opposites Attract,D  1490,7
301845,Anchors Aweigh,Fish Out of Water,D  1422,6
301845,Anchors Aweigh,Culture Clash,D  1411,5
301845,Anchors Aweigh,Success is the Best Revenge,D  1511,5
35157,...And Justice for All,Fighting the System,D  1503,9
35157,...And Justice for All,Social Injustice,D  1508,9
21743062,The Wolf of Wall Street,Rise and Fall Stories,D  1635,8
21743062,The Wolf of Wall Street,Hotshots,D  3240,7
21743062,The Wolf of Wall Street,Office Politics,D  1391,6
21743062,The Wolf of Wall Street,Work Ethics,D  1640,5
1240756,The Anderson Platoon,Military Life,D  1543,5
1200177,The Andromeda Strain,Finding the Cure,D  1507,5
1200177,The Andromeda Strain,Plagues and Epidemics,D  3089,5
1200177,The Andromeda Strain,Race Against Time,D  1432,5
20996558,Free Angela and All Political Prisoners,Scandals and Cover-Ups,D  3401,5
20996558,Free Angela and All Political Prisoners,Terrorism,D  1434,5
2604351,Angela's Ashes,Down on Their Luck,D  1383,7
2604351,Angela's Ashes,Inner City Blues,D  1401,5
2604351,Angela's Ashes,Alcoholism,D  1375,4
1234089,Angels & Insects,Self-Destructive Romance,D  1487,5
1234089,Angels & Insects,Sibling Relationships,D  1624,5
1234089,Angels & Insects,Social Climbing,D  1606,5
59817,Angels Over Broadway,Cons and Scams,D  1607,9
59817,Angels Over Broadway,Redemption,D  1587,8
59817,Angels Over Broadway,Writer's Life,D  1581,6
59817,Angels Over Broadway,Alcoholism,D  1375,5
59817,Angels Over Broadway,Suicide,D  1613,5
52141,Angels With Dirty Faces,Going Straight,D  1475,5
52141,Angels With Dirty Faces,Inner City Blues,D  1401,5
52141,Angels With Dirty Faces,Kids in Trouble,D  1382,5
1199696,Angry Harvest,Life Under Occupation,D  1464,8
1199696,Angry Harvest,Women During Wartime,D  1562,3
1200185,The Angry Silence,Labor Unions,D  1392,5
13635315,Animal Kingdom,Dysfunctional Families,D  3396,8
13635315,Animal Kingdom,Dishonor Among Thieves,D  1712,7
13635315,Animal Kingdom,Kids in Trouble,D  1382,7
13635315,Animal Kingdom,Betrayal,D  3425,6
13635315,Animal Kingdom,Orphans,D  1378,5
13635315,Animal Kingdom,Death of a Parent,D  1738,3
232816,Anna,Actor's Life,D  1556,5
232816,Anna,All Washed Up,D  1555,5
232816,Anna,Ladder to the Top,D  1399,5
232816,Anna,Teachers and Students,D  1614,5
232816,Anna,Women's Friendship,D  1623,5
232816,Anna,Immigrant Life,D  1402,4
20283152,The Magic of Belle Isle,Creative Block,D  1639,5
20283152,The Magic of Belle Isle,Redemption,D  1587,5
20283152,The Magic of Belle Isle,Unlikely Friendships,D  1770,5
20283152,The Magic of Belle Isle,Writer's Life,D  1581,5
2540045,Anna and the King,Crowned Heads,D  1642,5
2540045,Anna and the King,Culture Clash,D  1411,5
2540045,Anna and the King,Interracial/Cross-Cultural Romance,D  1493,5
2540045,Anna and the King,Nannies and Caregivers,D  3023,5
2540045,Anna and the King,Opposites Attract,D  1490,5
2540045,Anna and the King,Servants and Employers,D  1413,5
255405,Anna and the King of Siam,Interracial/Cross-Cultural Romance,D  1493,8
255405,Anna and the King of Siam,Opposites Attract,D  1490,8
255405,Anna and the King of Siam,Culture Clash,D  1411,6
255405,Anna and the King of Siam,Teachers and Students,D  1614,6
1237067,Anna Christie,Fathers and Daughters,D  1616,5
1237067,Anna Christie,Innocence Lost,D  1377,5
20524827,Anna Karenina,Infidelity,D  1486,5
20524827,Anna Karenina,Star-Crossed Lovers,D  1551,5
270303,Anne Frank Remembered,Crimes Against Humanity,D  1463,7
270303,Anne Frank Remembered,Life Under Occupation,D  1464,7
270303,Anne Frank Remembered,Women During Wartime,D  1562,5
14701,Anne of the Thousand Days,Crowned Heads,D  1642,7
14701,Anne of the Thousand Days,Crumbling Marriages,D  1506,5
14701,Anne of the Thousand Days,Arranged Marriages,D  1385,4
59842,Annie Hall,Breakups and Divorces,D  2142,5
59842,Annie Hall,Opposites Attract,D  1490,5
1199804,Annie Get Your Gun,Rags To Riches,D  1423,9
1199804,Annie Get Your Gun,Social Climbing,D  1606,7
1199804,Annie Get Your Gun,Culture Clash,D  1411,5
1199804,Annie Get Your Gun,Taming the West,D  1708,5
59842,Annie Hall,Breakups and Divorces,D  2142,5
59842,Annie Hall,Opposites Attract,D  1490,5
59842,Annie Hall,Breakups and Divorces,D  2142,5
59842,Annie Hall,Opposites Attract,D  1490,5
17843210,Anonymous,Writer's Life,D  1581,7
17843210,Anonymous,Political Unrest,D  1610,6
17843210,Anonymous,Crowned Heads,D  1642,3
18873062,Another Year,Betrayal,D  3425,5
18873062,Another Year,Crumbling Marriages,D  1506,5
18873062,Another Year,Infidelity,D  1486,5
282847,Anthony Adverse,Heroic Mission,D  1630,5
282847,Anthony Adverse,Righting the Wronged,D  1631,5
282847,Anthony Adverse,Runaways,D  1625,5
1234982,Antonia's Line,Mothers and Daughters,D  1615,7
1234982,Antonia's Line,Bohemian Life,D  1428,6
1234982,Antonia's Line,Single Parents,D  1592,6
1234982,Antonia's Line,Women's Friendship,D  1623,6
60776,The Apartment,Boss from Hell,D  3226,5
60776,The Apartment,Infidelity,D  1486,5
60776,The Apartment,Ladder to the Top,D  1399,5
60776,The Apartment,Love Triangles,D  1492,5
29668,Apocalypse Now,Obsessive Quests,D  1546,9
29668,Apocalypse Now,Existential Crisis,D  3235,5
29668,Apocalypse Now,Switching Sides,D  3229,5
29668,Apocalypse Now,Military Life,D  1543,4
6208779,Apocalypto,Heroic Mission,D  1630,6
6208779,Apocalypto,Race Against Time,D  1432,6
21251,Apollo 13,Daring Rescues,D  1376,5
21251,Apollo 13,Race Against Time,D  1432,5
21251,Apollo 13,Space Travel,D  1547,5
202152,The Apostle,Assumed Identities,D  1405,5
202152,The Apostle,Members of the Clergy,D  2145,5
202152,The Apostle,Redemption,D  1587,5
202152,The Apostle,Religious Zealotry,D  1398,5
18784043,The Appointments of Dennis Jennings,Nothing Goes Right,D  1410,5
18653,The Apprenticeship of Duddy Kravitz,Success is the Best Revenge,D  1511,8
18653,The Apprenticeship of Duddy Kravitz,Work Ethics,D  1640,7
18653,The Apprenticeship of Duddy Kravitz,Class Differences,D  1412,6
18653,The Apprenticeship of Duddy Kravitz,Rags To Riches,D  1423,6
18653,The Apprenticeship of Duddy Kravitz,Generation Gap,D  1381,4
18653,The Apprenticeship of Duddy Kravitz,Innocence Lost,D  1377,4
255385,April Love,Going Straight,D  1475,5
1221507,House Party,Party Film,D  1429,6
1221507,House Party,When the Parents Are Away,D  1602,5
171615,Arabian Nights,Crowned Heads,D  1642,5
171615,Arabian Nights,Feuds,D  3233,5
171615,Arabian Nights,Genie in a Bottle,D  1544,5
19867798,Argo,Daring Rescues,D  1376,8
19867798,Argo,Race Against Time,D  1432,7
19867798,Argo,Schemes and Ruses,D  3228,6
19867798,Argo,Americans Abroad,D  1427,5
171667,"Arise, My Love",Members of the Press,D  1643,5
171667,"Arise, My Love",Americans Abroad,D  1427,4
21396395,Gideon's Army,Lawyers,D  1502,5
9296,Around the World in 80 Days,Race Against Time,D  1432,9
9296,Around the World in 80 Days,Obsessive Quests,D  1546,3
1200435,Arrowsmith,Crisis of Conscience,D  1651,5
1200435,Arrowsmith,Doctors and Patients,D  1500,5
1200435,Arrowsmith,Finding the Cure,D  1507,5
1200435,Arrowsmith,Infidelity,D  1486,5
18784741,Arthur,Alcoholism,D  1375,5
18784741,Arthur,Arranged Marriages,D  1385,5
18784741,Arthur,Arrested Adolescence,D  3414,5
18784741,Arthur,Inheritance at Stake,D  1716,5
21960000,How I Live Now,Life Under Occupation,D  1464,5
21960000,How I Live Now,Survival in the Wilderness,D  1499,5
19858516,The Artist,Actor's Life,D  1556,5
19858516,The Artist,Rise and Fall Stories,D  1635,5
12324201,The Tree Of Life,Existential Crisis,D  3235,5
12324201,The Tree Of Life,Families in Crisis,D  2141,5
12324201,The Tree Of Life,Fathers and Sons,D  1617,5
18784741,Arthur,Alcoholism,D  1375,5
18784741,Arthur,Arranged Marriages,D  1385,5
18784741,Arthur,Arrested Adolescence,D  3414,5
18784741,Arthur,Inheritance at Stake,D  1716,5
20438480,Asad,Innocence Lost,D  1377,5
20438480,Asad,Life on the Homefront,D  1461,5
24262,The Asphalt Jungle,One Last Heist,D  1471,6
24262,The Asphalt Jungle,Dishonor Among Thieves,D  1712,5
24262,The Asphalt Jungle,Jewel Theft,D  1710,5
7119113,Assassination of Jesse James by Robert Ford,Dishonor Among Thieves,D  1712,5
7119113,Assassination of Jesse James by Robert Ford,Sheriffs and Outlaws,D  1632,5
7119113,Assassination of Jesse James by Robert Ford,Betrayal,D  3425,2
